operation_id,source,is_real_corpus,quality_label,composite_quality_score,generating_element_rank_score,hybrid_score
mc_borderline_0038,monte_carlo_borderline_operation,False,acceptable,0.8020053616891103,-1.4671317328286942e-07,0.8562169642831576
mc_random_perm_0134,monte_carlo_random_permutation,False,acceptable,0.8020053616891103,-2.870396422522446e-07,0.8505891086945996
mc_borderline_0027,monte_carlo_borderline_operation,False,acceptable,0.7951489847875546,-1.9805058195654477e-07,0.8493585907935545
mc_borderline_0032,monte_carlo_borderline_operation,False,acceptable,0.7705691307046668,-1.1711557945775365e-07,0.8353986272875347
mc_random_perm_0015,monte_carlo_random_permutation,False,acceptable,0.7705691307046668,-1.5308030720240058e-07,0.8339562458500537
mc_borderline_0005,monte_carlo_borderline_operation,False,acceptable,0.7705691307046668,-1.8994300333049744e-07,0.8324778509902848
mc_borderline_0063,monte_carlo_borderline_operation,False,acceptable,0.7686720283557771,-1.5738297282777005e-07,0.8324557138830116
mc_random_perm_0251,monte_carlo_random_permutation,False,acceptable,0.768672028355777,-1.7128006003765351e-07,0.8318983650058308
mc_borderline_0112,monte_carlo_borderline_operation,False,acceptable,0.7637127538031112,-9.75439596969879e-08,0.8313840919910032
mc_random_perm_0075,monte_carlo_random_permutation,False,acceptable,0.768672028355777,-1.8514773998013072e-07,0.8313421955202176
mc_borderline_0070,monte_carlo_borderline_operation,False,acceptable,0.7637127538031112,-1.417891210666612e-07,0.8296096200719861
mc_random_perm_0224,monte_carlo_random_permutation,False,acceptable,0.7618156514542213,-1.1554272650537416e-07,0.8293342717809773
mc_random_perm_0092,monte_carlo_random_permutation,False,acceptable,0.7618156514542214,-1.3134544564076816e-07,0.8287004966859883
mc_random_perm_0241,monte_carlo_random_permutation,False,acceptable,0.7686720283557771,-2.5314122443656544e-07,0.8286152865179882
mc_random_perm_0101,monte_carlo_random_permutation,False,acceptable,0.7637127538031112,-1.73787236164978e-07,0.8283263214028043
mc_random_perm_0189,monte_carlo_random_permutation,False,acceptable,0.768672028355777,-2.687995171410342e-07,0.8279873037093894
mc_random_perm_0237,monte_carlo_random_permutation,False,acceptable,0.7637127538031112,-1.8400982653172173e-07,0.8279163398594251
mc_borderline_0004,monte_carlo_borderline_operation,False,acceptable,0.788292607885999,-6.221356289488929e-07,0.8275510071168746
mc_random_perm_0083,monte_carlo_random_permutation,False,acceptable,0.7686720283557771,-2.8531403032490856e-07,0.827324981796804
mc_borderline_0015,monte_carlo_borderline_operation,False,acceptable,0.7637127538031112,-2.0056116785196786e-07,0.8272525409380141
mc_borderline_0003,monte_carlo_borderline_operation,False,acceptable,0.7618156514542214,-1.7966631611700548e-07,0.8267625666365048
mc_random_perm_0150,monte_carlo_random_permutation,False,acceptable,0.788292607885999,-6.58686152497136e-07,0.8260851320775718
mc_random_perm_0204,monte_carlo_random_permutation,False,acceptable,0.7686720283557771,-3.3260813471977924e-07,0.8254282306586948
mc_borderline_0062,monte_carlo_borderline_operation,False,acceptable,0.7618156514542214,-2.5596223215895867e-07,0.8237026849147282
mc_random_perm_0200,monte_carlo_random_permutation,False,acceptable,0.7568563769015555,-1.874147182031768e-07,0.8229803213301216
mc_random_perm_0229,monte_carlo_random_permutation,False,acceptable,0.7568563769015555,-2.1241487450818497e-07,0.8219776789176864
mc_borderline_0012,monte_carlo_borderline_operation,False,acceptable,0.768672028355777,-4.306045256679452e-07,0.8214980417178148
mc_borderline_0000,monte_carlo_borderline_operation,False,acceptable,0.7549592745526656,-2.2032780262776583e-07,0.8203323557640391
mc_borderline_0081,monte_carlo_borderline_operation,False,acceptable,0.768672028355777,-4.940771725108423e-07,0.8189524429232402
mc_random_perm_0031,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-2.687624242223037e-07,0.8183898636752516
mc_borderline_0031,monte_carlo_borderline_operation,False,acceptable,0.7618156514542214,-3.998235115438834e-07,0.8179330641788124
mc_random_perm_0016,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-2.887373232673836e-07,0.8175887614452348
mc_random_perm_0157,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-3.0173079247263047e-07,0.8170676525709178
mc_random_perm_0178,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-3.140468406718666e-07,0.8165737119680074
mc_borderline_0026,monte_carlo_borderline_operation,False,acceptable,0.7499999999999999,-2.550173815773256e-07,0.8154696225505168
mc_random_perm_0121,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-3.420958706096521e-07,0.8154487931194939
mc_borderline_0050,monte_carlo_borderline_operation,False,acceptable,0.7549592745526658,-3.502778172491989e-07,0.8151206525024112
mc_borderline_0094,monte_carlo_borderline_operation,False,acceptable,0.7549592745526658,-3.5171461713472026e-07,0.8150630290025487
mc_borderline_0088,monte_carlo_borderline_operation,False,acceptable,0.7372357973713336,-4.847568053206682e-08,0.8148181276968596
mc_random_perm_0093,monte_carlo_random_permutation,False,acceptable,0.7372357973713335,-5.900474379663174e-08,0.8143958549213028
mc_borderline_0087,monte_carlo_borderline_operation,False,acceptable,0.7549592745526658,-3.810500577762006e-07,0.8138865180793458
mc_random_perm_0033,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-7.494330982353588e-08,0.8137566316261762
mc_random_perm_0110,monte_carlo_random_permutation,False,acceptable,0.7549592745526656,-4.135991443616502e-07,0.8125811224530768
mc_random_perm_0188,monte_carlo_random_permutation,False,acceptable,0.7353386950224436,-7.981396189029899e-08,0.8122333203097218
mc_random_perm_0030,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-1.3173574727023442e-07,0.8114789456071403
mc_random_perm_0096,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-1.4813692039928127e-07,0.8108211692479748
mc_random_perm_0037,monte_carlo_random_permutation,False,acceptable,0.7353386950224436,-1.2474838887421456e-07,0.8104312050860054
mc_random_perm_0248,monte_carlo_random_permutation,False,acceptable,0.7372357973713335,-1.8452057670307047e-07,0.8093619864938919
mc_random_perm_0234,monte_carlo_random_permutation,False,acceptable,0.7353386950224438,-1.5984457384199342e-07,0.8090236569437439
mc_borderline_0104,monte_carlo_borderline_operation,False,acceptable,0.7372357973713336,-1.9871364457294166e-07,0.808792767180409
mc_random_perm_0003,monte_carlo_random_permutation,False,acceptable,0.7353386950224436,-1.7531371226612504e-07,0.8084032602518736
mc_random_perm_0056,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-2.089673345042317e-07,0.8083815383751312
